id,name,type,program_id
367043,20.Б16-вшж,очная,12195
367044,20.Б17-вшж,очная,12195
367042,20.Б18-вшж,очная,12195
365831,22.М07-вшж,очная,13419
367456,22.М02-вшж,очная,13420
367442,22.М01-вшж,очная,13421
366205,22.М09-вшж,очная,13415
367433,22.М10-вшж,очная,14312
366439,22.М04-вшж,очная,13406
367493,22.М06-вшж,очная,13271
367308,22.М03-вшж,очная,13269
366047,22.М05-вшж,очная,14246
367523,22.М11-вшж,очная,12213
366826,21.А01-вшж,очная,14249
365516,21.А02-вшж,очная,12195
367592,22.М93-фл,очно-заочная,13419
389183,21.М93-фл,очно-заочная,14297
366126,22.М94-фл,очная,13421
365742,22.М90-фл,очная,13415
365744,22.М95-фл,очная,13415
365743,22.М96-фл,очная,13415
365477,22.М92-фл,очная,13411
365657,22.М91-фл,очная,13271
365656,22.М97-фл,очная,13271
366217,22.М99-фл,очная,14246
367078,22.М12-ю,очная,12213
366996,22.Б01-и,очная,13273
367453,21.Б01-и,очная,12195
365456,20.Б01-и,очная,14250
366244,22.Б04-и,очная,13398
365822,21.Б04-и,очная,14295
366027,20.Б04-и,очная,13418
367519,22.Б07-и,очная,14297
367355,21.Б07-и,очная,13420
365494,20.Б07-и,очная,14298
366087,22.Б05-и,очная,13446
366282,21.Б05-и,очная,14316
365838,20.Б05-и,очная,13415
366207,22.Б02-и,очная,13411
365977,22.Б08-и,очная,14247
366754,20.Б08-и,очная,14245
366088,22.Б03-и,очная,13269
366055,21.Б03-и,очная,14246
366306,20.Б03-и,очная,13270
367325,22.Б06-и,очная,13273
367233,21.Б06-и,очная,12195
365875,20.Б06-и,очная,14250
366514,22.М09-ии,очная,14295
366056,22.М01-и,очная,14297
367585,22.М02-и,очная,13421
367356,22.М04-и,очная,13415
366427,22.М03-и,очная,13411
365860,22.С01-и,очная,14245
367345,21.С01-и,очная,13269
366048,20.С01-и,очная,14246
366210,18.С03-и,очная,12213
365624,22.С03-и,очная,13273
366735,21.С03-и,очная,12195
366362,20.С03-и,очная,14250
365904,19.С03-и,очная,14300
366406,21.С04-и,очная,14294
367570,18.С04-и,очная,13398
365837,22.С04-и,очная,14295
366680,20.С04-и,очная,13418
366318,19.С05-и,очная,14296
366268,22.Б07-ии,очная,14297
365809,21.Б05-ии,очная,13420
366557,20.Б05-ии,очная,14298
366357,22.Б01-ии,очная,14316
366356,22.Б02-ии,очная,14316
366353,22.Б03-ии,очная,14316
366358,22.Б04-ии,очная,14316
366355,22.Б05-ии,очная,14316
366354,22.Б10-ии,очная,14316
366409,21.Б01-ии,очная,13415
366408,21.Б02-ии,очная,13415
366410,21.Б03-ии,очная,13415
366412,21.Б04-ии,очная,13415
366411,21.Б10-ии,очная,13415
366038,20.Б01-ии,очная,13402
366039,20.Б02-ии,очная,13402
366041,20.Б03-ии,очная,13402
366040,20.Б04-ии,очная,13402
366433,22.Б06-ии,очная,13406
366434,22.Б08-ии,очная,13406
366458,21.Б06-ии,очная,14247
366457,21.Б08-ии,очная,14247
366954,20.Б06-ии,очная,13271
365464,20.Б07-ии,очная,12213
367224,22.М08-ии,очная,14294
366442,22.М01-ии,очная,13419
366923,22.М06-ии,очная,14298
366275,22.М10-ии,очная,13415
367132,22.М11-ии,очная,13411
365476,22.М05-ии,очная,13271
366436,22.М07-ии,очная,14246
366649,22.М04-ии,очная,12197
366325,21.А01-ии,очная,14300
366326,21.А02-ии,очная,14300
365909,21.А03-ии,очная,14295
366719,22.М05-ики,очная,14297
366464,22131ФК,очная,13421
366465,22132ФК,очная,13421
366463,22133ФК,очная,13421
366466,22134ФК,очная,13421
366467,22135ФК,очная,13421
366468,22136ФК,очная,13421
365643,22231ФК,очная,13421
365642,22232ФК,очная,13421
367152,21131ФК,очная,13446
367148,21132ФК,очная,13446
367151,21133ФК,очная,13446
367149,21134ФК,очная,13446
367147,21135ФК,очная,13446
367150,21136ФК,очная,13446
365438,21231ФК,очная,13446
365437,21232ФК,очная,13446
365645,20131ФК,очная,14316
365651,20132ФК,очная,14316
365644,20133ФК,очная,14316
365650,20134ФК,очная,14316
365648,20135ФК,очная,14316
365647,20136ФК,очная,14316
365649,20137ФК,очная,14316
365652,20138ФК,очная,14316
365646,20139ФК,очная,14316
366461,20231ФК,очная,14316
366460,20232ФК,очная,14316
365896,22141ФК,очная,14312
365894,22142ФК,очная,14312
365895,22143ФК,очная,14312
365897,22144ФК,очная,14312
366631,22241ФК,очная,14312
367072,21141ФК,очная,13411
367071,21142ФК,очная,13411
367073,21143ФК,очная,13411
367070,21144ФК,очная,13411
366478,21241ФК,очная,13411
366920,22.Б01-мкн,очная,13271
366921,22.Б02-мкн,очная,13271
366922,22.Б03-мкн,очная,13271
367546,21.Б01-мкн,очная,14245
367547,21.Б02-мкн,очная,14245
367548,21.Б03-мкн,очная,14245
365914,20.Б01-мкн,очная,13269
365916,20.Б02-мкн,очная,13269
365915,20.Б03-мкн,очная,13269
367292,20.Б05-мкн,очная,12213
367293,20.Б06-мкн,очная,12213
365577,22.Б05-мкн,очная,14249
365576,22.Б06-мкн,очная,14249
366657,21.Б05-мкн,очная,13273
366658,21.Б06-мкн,очная,13273
366072,22.Б09-мкн,очная,12195
366073,22.Б10-мкн,очная,12195
365427,21.Б09-мкн,очная,14250
365428,21.Б10-мкн,очная,14250
367107,20.Б09-мкн,очная,14300
367106,20.Б10-мкн,очная,14300
366250,22.М02-мкн,очная,13398
365797,22.М01-мкн,очная,14295
366402,21.А01-мкн,очная,13419
366107,22.Б14-мм,очная,14297
365949,21.Б14-мм,очная,13420
367079,20.Б14-мм,очная,14298
365593,22.Б13-мм,очная,13421
366910,21.Б13-мм,очная,13446
367435,20.Б13-мм,очная,14316
366159,22.Б12-мм,очная,13406
366012,21.Б12-мм,очная,14247
367217,20.Б12-мм,очная,13271
365902,21.Б04-мм,очная,14246
365901,21.Б05-мм,очная,14246
365903,21.Б06-мм,очная,14246
366045,20.Б04-мм,очная,13270
366046,20.Б06-мм,очная,13270
366034,22.Б04-мм,очная,14249
366035,22.Б05-мм,очная,14249
366033,22.Б06-мм,очная,14249
366724,22.Б11-мм,очная,13273
366725,22.Б15-мм,очная,13273
365899,21.Б11-мм,очная,12195
365898,21.Б15-мм,очная,12195
367402,20.Б11-мм,очная,14250
366763,22.Б07-мм,очная,13398
366766,22.Б08-мм,очная,13398
366764,22.Б09-мм,очная,13398
366765,22.Б10-мм,очная,13398
367323,21.Б07-мм,очная,14295
367322,21.Б08-мм,очная,14295
367321,21.Б09-мм,очная,14295
367320,21.Б10-мм,очная,14295
366148,20.Б07-мм,очная,13418
366150,20.Б08-мм,очная,13418
366149,20.Б09-мм,очная,13418
366147,20.Б10-мм,очная,13418
366964,22.М08-мм,очная,12197
367465,22.М02-мм,очная,14249
367464,22.М03-мм,очная,14249
366654,22.М04-мм,очная,14250
366331,22.М06-мм,очная,13398
367206,22.М07-мм,очная,14296
367346,21.А03-мм,очная,13420
366970,20.А03-мм,очная,14298
366229,21.А04-мм,очная,14316
366379,20.А04-мм,очная,13415
367045,21.А01-мм,очная,13411
367057,20.А01-мм,очная,13406
366518,21.А05-мм,очная,14245
367537,21.А02-мм,очная,13269
366656,20.А02-мм,очная,14246
365754,22.С03-мм,очная,12197
366997,21.С03-мм,очная,14249
365893,20.С03-мм,очная,13273
366206,19.С03-мм,очная,12195
367436,18.С03-мм,очная,14250
366981,22.С01-мм,очная,13398
367545,21.С01-мм,очная,14295
366291,20.С01-мм,очная,13418
367229,19.С01-мм,очная,14296
367530,22.С02-мм,очная,13420
366225,21.С02-мм,очная,14298
366111,20.С02-мм,очная,13421
366292,19.С02-мм,очная,13446
367553,22.Б09-нз,очная,14300
367555,22.Б10-нз,очная,14300
367554,22.Б11-нз,очная,14300
389449,ПП Остеопатия_1054_17.02.2023-10.06.2023,очная,14295
389451,ПП Остеопатия_1054_17.02.2023-10.06.2026,очная,14295
389450,ПП Остеопатия_17.02.2023-10.06.2026,очная,14295
389452,ПП Остеопатия_1054_19.02.2021-08.06.2024,очная,13418
366896,22.ОМ.АкушГин-1,очная,14245
366709,22.ОМ.АнестРеан,очная,14246
366708,22.ОМ.АнестРеан-КВМТ,очная,14246
366830,22.ОМ.Дерматовенер,очная,12213
366797,22.ОМ.ИнфекцБ-ни,очная,14249
366493,22.ОМ.Кардиология-1,очная,12195
366491,22.ОМ.Кардиология-2,очная,12195
366492,22.ОМ.Кардиология-3,очная,12195
366494,22.ОМ.Кардиология-4,очная,12195
366503,22.ОМ.ЛФ,очная,14300
367425,22.ОМ.Неврология-1,очная,13398
367426,22.ОМ.Неврология-2,очная,13398
366218,22.ОМ.Нейрохир,очная,13418
366632,22.ОМ.Онко-1,очная,13419
366543,22.ОМ.Оргздрав,очная,13420
