id,start_time,end_time,description,location
990,2023-08-18 10:00:00,2023-08-18 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
992,2023-08-18 10:00:00,2023-08-18 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
993,2023-08-19 10:00:00,2023-08-19 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
994,2023-08-19 10:00:00,2023-08-19 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
996,2023-08-19 10:00:00,2023-08-19 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
997,2023-08-21 10:00:00,2023-08-21 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
998,2023-08-21 10:00:00,2023-08-21 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
1000,2023-08-21 10:00:00,2023-08-21 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
720,2023-08-28 14:00:00,2023-08-28 15:30:00,"Перкутанная нефролитотрипсия, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
721,2023-08-29 09:00:00,2023-08-29 10:30:00,"Перкутанная нефролитотрипсия, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
763,2023-09-04 19:00:00,2023-09-04 20:30:00,"Основы педагогической деятельности (онлайн-курс), зачёт (пересдача)",С использованием информационно-коммуникационных технологий
1001,2023-08-22 10:00:00,2023-08-22 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
